Name (location);Time/Call;Samples;Calls;% Time
Summary;;203;;100.0
cv::Mat::release();62ns;83;13343070;40.8867
parents;41ns;56;13343070;27.586206
cv::Mat::operator=(cv::Mat const&) (mat.hpp:287);131ns;42;3199234;20.689655
cv::Mat::~Mat() (mat.hpp:276);13ns;14;10143836;6.8965516
cv::Mat::operator=(cv::Mat const&);6.536us;42;64252;20.689655
children;58ns;94;15996170;46.30542
cv::Mat::release() (mat.hpp:365);259ns;83;3199234;40.8867
cv::Mat::MStep::operator[](int) (mat.hpp:738);9ns;6;6398468;2.955665
cv::Mat::MStep::operator[](int) const (mat.hpp:737);7ns;5;6398468;2.4630542
parents;0ns;0;64252;0.0
cv::videostab::StabilizerBase::reset() (stabilizer.cpp:74);0ns;0;3;0.0
cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:284);0ns;0;41;0.0
run() (videostab.cpp:42);0ns;0;528;0.0
cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:196);0ns;0;1054;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:124);0ns;0;1092;0.0
cv::Mat_<float>::operator=(cv::Mat_<float> const&) (mat.hpp:897);0ns;0;4200;0.0
cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:883);0ns;0;57334;0.0
cv::Mat_<float>::operator()(int, int);22ns;14;6186186;6.8965516
parents;16ns;10;6186186;4.9261084
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:407);12ns;7;5648184;3.4482758
cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:86);132ns;2;151488;0.9852217
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:310);25ns;1;386514;0.49261084
cv::Mat::~Mat();20ns;14;6689184;6.8965516
children;81ns;83;10143836;40.8867
cv::Mat::release() (mat.hpp:365);81ns;83;10143836;40.8867
parents;22ns;15;6689184;7.3891625
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:358);3.326us;7;21040;3.4482758
cv::MatExpr::~MatExpr() (mat.hpp:1211);9ns;6;6336240;2.955665
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:678);19.011us;1;526;0.49261084
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:295);264ns;1;37872;0.49261084
cv::videostab::StabilizerBase::reset() (stabilizer.cpp:74);0ns;0;3;0.0
cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66);0ns;0;4;0.0
cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:275);0ns;0;5;0.0
void std::_Destroy<cv::Mat>(cv::Mat*) (stl_construct.h:95);0ns;0;405;0.0
run() (videostab.cpp:42);0ns;0;529;0.0
cv::videostab::(anonymous namespace)::VideoFileSourceImpl::nextFrame() (frame_source.cpp:85);0ns;0;567;0.0
cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:211);0ns;0;1054;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:129);0ns;0;1093;0.0
cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:462);0ns;0;1578;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:116);0ns;0;41574;0.0
