Hierarchy	Name (location)	Time/Call	Samples	Calls	% Time
+-	Summary		150		100
  +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*)	114.068us	6	526	4
  | +-	parents	19.011us	1	526	0.6666667
  | | +-	cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:472)	19.011us	1	526	0.6666667
  | +-	children	22ns	23	10222924	15.333333
  |   +-	cv::Mat::Mat(cv::Mat const&) (mat.hpp:111)	19.011us	1	526	0.6666667
  |   +-	cv::Mat::~Mat() (mat.hpp:274)	3.326us	7	21040	4.6666665
  |   +-	cv::Mat_<float>::Mat_(cv::Mat const&) (mat.hpp:824)	543ns	1	18410	0.6666667
  |   +-	cv::Mat_<float>::operator()(int, int) (mat.hpp:985)	21ns	12	5648184	8
  |   +-	cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1619)	9ns	2	2042010	1.3333334
  |   +-	cv::Mat_<float>::Mat_() (mat.hpp:800)	0ns	0	526	0
  |   +-	cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:879)	0ns	0	526	0
  |   +-	cv::RNG::RNG(unsigned long long) (operations.hpp:2480)	0ns	0	526	0
  |   +-	cv::videostab::RansacParams::niters() const (motion_core.hpp:76)	0ns	0	526	0
  |   +-	std::allocator<int>::allocator() (allocator.h:104)	0ns	0	526	0
  |   +-	std::allocator<int>::~allocator() (allocator.h:112)	0ns	0	526	0
  |   +-	std::vector<int, std::allocator<int> >::vector(unsigned int, int const&, std::allocator<int> const&) (stl_vector.h:292)	0ns	0	526	0
  |   +-	std::vector<int, std::allocator<int> >::~vector() (stl_vector.h:402)	0ns	0	526	0
  |   +-	cv::Point_<float>* cv::Mat::ptr<cv::Point_<float> >(int) (mat.hpp:426)	0ns	0	1052	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::resize(unsigned int, cv::Point_<float>) (stl_vector.h:684)	0ns	0	1052	0
  |   +-	std::allocator<cv::Point_<float> >::allocator() (allocator.h:104)	0ns	0	2104	0
  |   +-	std::allocator<cv::Point_<float> >::~allocator() (allocator.h:112)	0ns	0	2104	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::vector(unsigned int, cv::Point_<float> const&, std::allocator<cv::Point_<float> > const&) (stl_vector.h:292)	0ns	0	2104	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~vector() (stl_vector.h:402)	0ns	0	2104	0
  |   +-	cv::Mat_<float>::operator=(cv::Mat_<float> const&) (mat.hpp:895)	0ns	0	4200	0
  |   +-	cv::Point_<float>::Point_() (operations.hpp:1611)	0ns	0	4208	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::swap(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (stl_vector.h:1079)	0ns	0	8400	0
  |   +-	cv::Mat_<float>::~Mat_() (core.hpp:2691)	0ns	0	18936	0
  |   +-	cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*) (global_motion.cpp:331)	0ns	0	18936	0
  |   +-	cv::_OutputArray::_OutputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (mat.hpp:1140)	0ns	0	37872	0
  |   +-	cv::RNG::operator unsigned int() (operations.hpp:2491)	0ns	0	57747	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::operator[](unsigned int) (stl_vector.h:750)	0ns	0	159282	0
  |   +-	std::vector<int, std::allocator<int> >::operator[](unsigned int) (stl_vector.h:750)	0ns	0	285717	0
  |   +-	sqr(float) (precomp.hpp:62)	0ns	0	1882728	0
  +-	cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*)	19.011us	1	526	0.6666667
  | +-	children	399ns	11	275020	7.3333335
  | | +-	cv::Mat::~Mat() (mat.hpp:274)	133.079us	7	526	4.6666665
  | | +-	cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:460)	19.011us	1	526	0.6666667
  | | +-	cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1619)	760ns	2	26300	1.3333334
  | | +-	std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::size() const (stl_vector.h:625)	365ns	1	27352	0.6666667
  | | +-	cv::Mat::Mat() (mat.hpp:67)	0ns	0	526	0
  | | +-	cv::Point_<float>::Point_() (operations.hpp:1611)	0ns	0	526	0
  | | +-	cv::Ptr<cv::FeatureDetector>::operator->() (operations.hpp:2636)	0ns	0	526	0
  | | +-	cv::Ptr<cv::videostab::IOutlierRejector>::operator cv::videostab::IOutlierRejector*() (operations.hpp:2639)	0ns	0	526	0
  | | +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator->() (operations.hpp:2636)	0ns	0	526	0
  | | +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->() (operations.hpp:2636)	0ns	0	526	0
  | | +-	cv::_OutputArray::_OutputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (mat.hpp:1140)	0ns	0	526	0
  | | +-	cv::_OutputArray::_OutputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> >&) (mat.hpp:1140)	0ns	0	526	0
  | | +-	cv::videostab::SparsePyrLkOptFlowEstimator::run(cv::_InputArray const&, cv::_InputArray const&, cv::_InputArray const&, cv::_OutputArray const&, cv::_OutputArray const&, cv::_OutputArray const&) (optical_flow.cpp:58)	0ns	0	526	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::resize(unsigned int, cv::Point_<float>) (stl_vector.h:684)	0ns	0	526	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::clear() (stl_vector.h:1096)	0ns	0	1052	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::reserve(unsigned int) (vector.tcc:66)	0ns	0	1052	0
  | | +-	cv::_InputArray::_InputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > const&) (mat.hpp:1119)	0ns	0	1578	0
  | | +-	std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::operator[](unsigned int) (stl_vector.h:750)	0ns	0	26300	0
  | | +-	std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned int) (stl_vector.h:750)	0ns	0	26300	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::size() const (stl_vector.h:625)	0ns	0	27878	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::push_back(cv::Point_<float> const&) (stl_vector.h:881)	0ns	0	52298	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::operator[](unsigned int) (stl_vector.h:750)	0ns	0	78598	0
  | +-	parents	0ns	0	526	0
  |   +-	cv::videostab::OnePassStabilizer::estimateMotion() (stabilizer.cpp:295)	0ns	0	526	0
  +-	cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*)	19.011us	1	526	0.6666667
  | +-	children	26.615us	14	5260	9.333333
  | | +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:355)	114.068us	6	526	4
  | | +-	cv::Mat::~Mat() (mat.hpp:274)	44.359us	7	1578	4.6666665
  | | +-	cv::Mat::Mat(cv::Mat const&) (mat.hpp:111)	19.011us	1	526	0.6666667
  | | +-	cv::Mat_<float>::Mat_() (mat.hpp:800)	0ns	0	526	0
  | | +-	cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:879)	0ns	0	526	0
  | | +-	cv::Mat_<float>::~Mat_() (core.hpp:2691)	0ns	0	526	0
