Hierarchy;Name (location);Time/Call;Samples;Calls;% Time
+-;Summary;;203;;100.0
  +-;mat.hpp;;177;;87.192116
  | +-;cv::Mat::operator=(cv::Mat const&);6.536us;42;64252;20.689655
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:286);;12;;5.91133
  | | | +-;0x804da38;;10;;4.9261084
  | | | +-;0x804da30;;1;;0.49261084
  | | | +-;0x804da34;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:287);;4;;1.9704434
  | | | +-;0x804da3c;;3;;1.4778326
  | | | +-;0x804da40;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:288);;4;;1.9704434
  | | | +-;0x804da4c;;3;;1.4778326
  | | | +-;0x804da48;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:294);;4;;1.9704434
  | | | +-;0x804da9c;;2;;0.9852217
  | | | +-;0x804dac0;;2;;0.9852217
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:300);;4;;1.9704434
  | | | +-;0x804db18;;2;;0.9852217
  | | | +-;0x804db20;;2;;0.9852217
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:289);;3;;1.4778326
  | | | +-;0x804da50;;1;;0.49261084
  | | | +-;0x804da54;;1;;0.49261084
  | | | +-;0x804da58;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:301);;2;;0.9852217
  | | | +-;0x804db24;;1;;0.49261084
  | | | +-;0x804db2c;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:303);;2;;0.9852217
  | | | +-;0x804db3c;;1;;0.49261084
  | | | +-;0x804db44;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:283);;1;;0.49261084
  | | | +-;0x804da24;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:285);;1;;0.49261084
  | | | +-;0x804da2c;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:291);;1;;0.49261084
  | | | +-;0x804da78;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:292);;1;;0.49261084
  | | | +-;0x804da7c;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:295);;1;;0.49261084
  | | | +-;0x804daf4;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:299);;1;;0.49261084
  | | | +-;0x804db14;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:302);;1;;0.49261084
  | | | +-;0x804db38;;1;;0.49261084
  | | +-;cv::Mat::operator=(cv::Mat const&) (mat.hpp:282);;0;;0.0
  | |   +-;0x804da0e;;0;;0.0
  | +-;cv::operator+=(cv::Mat const&, cv::MatExpr const&);243ns;1;41047;0.49261084
  | | +-;cv::operator+=(cv::Mat const&, cv::MatExpr const&) (mat.hpp:1459);;1;;0.49261084
  | |   +-;0x8068a68;;1;;0.49261084
  | +-;cv::Mat::Mat(cv::Mat const&);229ns;1;43537;0.49261084
  | | +-;cv::Mat::Mat(cv::Mat const&) (mat.hpp:118);;1;;0.49261084
  | |   +-;0x8050088;;1;;0.49261084
  | +-;cv::Mat::type() const;172ns;1;57861;0.49261084
  | | +-;cv::Mat::type() const (mat.hpp:399);;1;;0.49261084
  | |   +-;0x804dcae;;1;;0.49261084
  | +-;cv::Mat::release();62ns;83;13343070;40.8867
  | | +-;cv::Mat::release() (mat.hpp:368);;47;;23.15271
  | | | +-;0x804dc68;;7;;3.4482758
  | | | +-;0x804dc74;;6;;2.955665
  | | | +-;0x804dc78;;5;;2.4630542
  | | | +-;0x804dc70;;4;;1.9704434
  | | | +-;0x804dc80;;4;;1.9704434
  | | | +-;0x804dc84;;4;;1.9704434
  | | | +-;0x804dc8c;;4;;1.9704434
  | | | +-;0x804dc90;;4;;1.9704434
  | | | +-;0x804dc7c;;3;;1.4778326
  | | | +-;0x804dc88;;3;;1.4778326
  | | | +-;0x804dc94;;3;;1.4778326
  | | +-;cv::Mat::release() (mat.hpp:366);;21;;10.344828
  | | | +-;0x804dc48;;9;;4.4334974
  | | | +-;0x804dc34;;8;;3.9408867
  | | | +-;0x804dc58;;2;;0.9852217
  | | | +-;0x804dc3c;;1;;0.49261084
  | | | +-;0x804dc54;;1;;0.49261084
  | | +-;cv::Mat::release() (mat.hpp:369);;8;;3.9408867
  | | | +-;0x804dca0;;6;;2.955665
  | | | +-;0x804dc9c;;2;;0.9852217
  | | +-;cv::Mat::release() (mat.hpp:365);;6;;2.955665
  | | | +-;0x804dc24;;4;;1.9704434
  | | | +-;0x804dc28;;1;;0.49261084
  | | | +-;0x804dc2c;;1;;0.49261084
  | | +-;cv::Mat::release() (mat.hpp:371);;1;;0.49261084
  | |   +-;0x804dcac;;1;;0.49261084
  | +-;cv::MatExpr::~MatExpr();57ns;6;1037104;2.955665
  | | +-;cv::MatExpr::~MatExpr() (mat.hpp:1211);;6;;2.955665
  | |   +-;0x8058a94;;1;;0.49261084
  | |   +-;0x8058aa4;;1;;0.49261084
  | |   +-;0x8058aa8;;1;;0.49261084
  | |   +-;0x8058aac;;1;;0.49261084
  | |   +-;0x8058ab0;;1;;0.49261084
  | |   +-;0x8058ae4;;1;;0.49261084
