T,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
D,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
N,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8
G,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
S,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7
B,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
A,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
J,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7
M,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8
X,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7
O,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8
G,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8
M,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
R,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
F,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
O,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8
C,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9
T,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
J,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7
H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
S,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8
O,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5
J,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6
C,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8
M,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7
W,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6
H,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8
G,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8
L,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
L,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9
X,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4
B,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
M,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7
G,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8
O,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8
P,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
G,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
X,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8
E,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9
X,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9
G,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11
V,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8
X,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8
W,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8
G,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9
R,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7
S,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8
Y,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
L,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
Y,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7
J,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5
S,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8
Q,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8
Q,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8
D,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8
C,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9
L,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
N,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8
C,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8
E,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9
X,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8
H,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7
L,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8
H,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8
E,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10
Y,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3
H,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9
Q,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9
Q,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9
Q,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9
J,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8
J,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8
D,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7
R,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8
M,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8
A,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
N,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5
M,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7
P,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8
C,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10
P,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9
N,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8
W,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8
V,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7
V,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3
M,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7
E,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7
N,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4
Y,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5
W,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8
O,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6
N,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8
H,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11
O,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8
N,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8
H,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8
U,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
Y,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8
S,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5
S,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8
T,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7
C,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7
V,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8
T,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4
K,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7
D,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7
W,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8
I,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8
E,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8
F,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5
I,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8
H,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8
U,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8
C,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9
F,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12
A,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
Z,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
X,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10
N,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8
R,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9
B,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10
B,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8
U,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5
J,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8
F,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7
M,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9
H,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8
A,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
O,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8
E,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10
U,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6
A,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
X,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6
S,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9
J,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7
K,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8
I,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8
P,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8
T,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8
C,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10
H,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8
A,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9
L,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7
T,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7
A,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9
V,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8
U,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5
I,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8
Z,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7
V,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8
M,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6
L,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7
O,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8
B,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10
A,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5
K,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9
H,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8
