M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16
M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
